作物编号,作物名称,作物类型,第一季,第二季,单季
1,黄豆,粮食（豆类）,0.0,0.0,3.25
2,黑豆,粮食（豆类）,0.0,0.0,7.5
3,红豆,粮食（豆类）,0.0,0.0,8.25
4,绿豆,粮食（豆类）,0.0,0.0,7.0
5,爬豆,粮食（豆类）,0.0,0.0,6.75
6,小麦,粮食,0.0,0.0,3.5
7,玉米,粮食,0.0,0.0,3.0
8,谷子,粮食,0.0,0.0,6.75
9,高粱,粮食,0.0,0.0,6.0
10,黍子,粮食,0.0,0.0,7.5
11,荞麦,粮食,0.0,0.0,40.0
12,南瓜,粮食,0.0,0.0,1.5
13,红薯,粮食,0.0,0.0,3.25
14,莜麦,粮食,0.0,0.0,5.5
15,大麦,粮食,0.0,0.0,3.5
16,水稻,粮食,0.0,0.0,7.0
17,豇豆,蔬菜（豆类）,8.0,9.6,0.0
18,刀豆,蔬菜（豆类）,6.75,8.1,0.0
19,芸豆,蔬菜（豆类）,6.5,7.8,0.0
20,土豆,蔬菜,3.75,4.5,0.0
21,西红柿,蔬菜,6.25,7.5,0.0
22,茄子,蔬菜,5.5,6.6,0.0
23,菠菜,蔬菜,5.75,6.9,0.0
24,青椒,蔬菜,5.25,6.8,0.0
25,菜花,蔬菜,5.5,6.6,0.0
26,包菜,蔬菜,6.5,7.8,0.0
27,油麦菜,蔬菜,5.0,6.0,0.0
28,小青菜,蔬菜,5.75,6.9,0.0
29,黄瓜,蔬菜,7.0,8.4,0.0
30,生菜,蔬菜,5.25,6.3,0.0
31,辣椒,蔬菜,7.25,8.7,0.0
32,空心菜,蔬菜,4.5,5.4,0.0
33,黄心菜,蔬菜,4.5,5.4,0.0
34,芹菜,蔬菜,4.0,4.8,0.0
35,大白菜,蔬菜,0.0,2.5,0.0
36,白萝卜,蔬菜,0.0,2.5,0.0
37,红萝卜,蔬菜,0.0,3.25,0.0
38,榆黄菇,食用菌,0.0,57.5,0.0
39,香菇,食用菌,0.0,19.0,0.0
40,白灵菇,食用菌,0.0,16.0,0.0
41,羊肚菌,食用菌,0.0,100.0,0.0
