,作物名称,23年产量,销售单价中值,2024年预计销售量,平均价,2025年预计销售量,2026年预计销售量,2027年预计销售量,2028年预计销售量,2029年预计销售量,2030年预计销售量,种植成本
0,黄豆,57000,3.25,55095.31766,3.5,55685.79128,56090.66667,57037.16835,55685.79128,56090.66667,57037.16835,400
1,黑豆,21850,7.5,21119.87177,7,21346.21999,21501.42222,21864.24787,21346.21999,21501.42222,21864.24787,400
2,红豆,22400,8.25,21651.49325,8,21883.53903,22042.64795,22414.60651,21883.53903,22042.64795,22414.60651,350
3,绿豆,33040,7,31935.95255,6.75,32278.22007,32512.90573,33061.5446,32278.22007,32512.90573,33061.5446,350
4,爬豆,9875,6.75,9545.022138,7,9647.319103,9717.461989,9881.439254,9647.319103,9717.461989,9881.439254,350
5,小麦,170840,3.5,165131.2994,3.75,166901.0628,168114.5525,170951.4007,166901.0628,168114.5525,170951.4007,450
6,玉米,132750,3,128314.0951,3.5,129689.2771,130632.2105,132836.5631,129689.2771,130632.2105,132836.5631,500
7,谷子,71400,6.75,69014.13475,7.5,69753.78066,70260.94035,71446.55825,69753.78066,70260.94035,71446.55825,360
8,高粱,30000,6,28997.53561,8.25,29308.3112,29521.40351,30019.56229,29308.3112,29521.40351,30019.56229,400
9,黍子,12500,7.5,12082.3065,7,12211.79633,12300.5848,12508.15095,12211.79633,12300.5848,12508.15095,360
10,荞麦,1500,40,1449.87678,37.8,1465.41556,1476.070176,1500.978115,1465.41556,1476.070176,1500.978115,350
11,南瓜,35100,1.5,33927.11666,1.75,34290.7241,34540.04211,35122.88788,34290.7241,34540.04211,35122.88788,1000
12,红薯,36000,3.25,34797.04273,3.5,35169.97344,35425.68421,36023.47475,35169.97344,35425.68421,36023.47475,2000
13,莜麦,14000,5.5,13532.18328,6.75,13677.21189,13776.65497,14009.12907,13677.21189,13776.65497,14009.12907,400
14,大麦,10000,3.5,9665.845203,4.3,9769.437067,9840.467837,10006.52076,9769.437067,9840.467837,10006.52076,350
15,水稻,21000,7,20298.27493,7.5,20515.81784,20664.98246,21013.6936,20515.81784,20664.98246,21013.6936,400
16,豇豆,36480,8,35261.0033,9.3,35638.90642,35898.02667,36503.78774,35638.90642,35898.02667,36503.78774,400
17,刀豆,26880,6.75,25981.7919,8.1,26260.24683,26451.17755,26897.52781,26260.24683,26451.17755,26897.52781,350
18,芸豆,6480,6.5,6263.467691,5.5,6330.595219,6376.623158,6484.225455,6330.595219,6376.623158,6484.225455,350
19,土豆,30000,3.75,28997.53561,3.5,29308.3112,29521.40351,30019.56229,29308.3112,29521.40351,30019.56229,350
20,西红柿,36210,6.25,35000.02548,4.2,35375.13162,35632.33404,36233.61168,35375.13162,35632.33404,36233.61168,450
21,茄子,38400,5.5,37116.84558,8.2,37514.63834,37787.39649,38425.03973,37514.63834,37787.39649,38425.03973,500
22,菠菜 ,900,5.75,869.9260682,3.25,879.249336,885.6421053,900.5868687,879.249336,885.6421053,900.5868687,360
23,青椒,1200,5.25,1159.901424,3.25,1172.332448,1180.85614,1200.782492,1172.332448,1180.85614,1200.782492,400
24,菜花,2400,5.5,2319.802849,3.5,2344.664896,2361.712281,2401.564983,2344.664896,2361.712281,2401.564983,360
25,包菜,2700,6.5,2609.778205,8.25,2637.748008,2656.926316,2701.760606,2637.748008,2656.926316,2701.760606,350
26,油麦菜,4500,5,4349.630341,3.75,4396.24668,4428.210527,4502.934344,4396.24668,4428.210527,4502.934344,1000
27,小青菜,32000,5.75,30930.70465,2.5,31262.19861,31489.49708,32020.86644,31262.19861,31489.49708,32020.86644,2000
28,黄瓜,2100,7,2029.827493,5.75,2051.581784,2066.498246,2101.36936,2051.581784,2066.498246,2101.36936,400
29,生菜 ,600,5.25,579.9507122,5.5,586.166224,590.4280702,600.3912458,586.166224,590.4280702,600.3912458,350
30,辣椒,1200,7.25,1159.901424,6.25,1172.332448,1180.85614,1200.782492,1172.332448,1180.85614,1200.782492,400
31,空心菜,3600,4.5,3479.704273,4.5,3516.997344,3542.568421,3602.347475,3516.997344,3542.568421,3602.347475,400
32,黄心菜,1800,4.5,1739.852136,5.5,1758.498672,1771.284211,1801.173737,1758.498672,1771.284211,1801.173737,350
33,芹菜,1800,4,1739.852136,4.3,1758.498672,1771.284211,1801.173737,1758.498672,1771.284211,1801.173737,350
34,大白菜,60000,2.5,57995.07122,3.4,58616.6224,59042.80702,60039.12458,58616.6224,59042.80702,60039.12458,350
35,白萝卜,12500,2.5,12082.3065,2.5,12211.79633,12300.5848,12508.15095,12211.79633,12300.5848,12508.15095,450
36,红萝卜,6000,3.25,5799.507122,5.6,5861.66224,5904.280702,6003.912458,5861.66224,5904.280702,6003.912458,500
37,榆黄菇,9000,57.5,8699.260682,62.9,8792.49336,8856.421053,9005.868687,8792.49336,8856.421053,9005.868687,360
38,香菇,7200,19,6959.408546,17,7033.994688,7085.136843,7204.69495,7033.994688,7085.136843,7204.69495,400
39,白灵菇,18000,16,17398.52136,17,17584.98672,17712.84211,18011.73737,17584.98672,17712.84211,18011.73737,360
40,羊肚菌,4200,100,4059.654985,98,4103.163568,4132.996491,4202.738721,4103.163568,4132.996491,4202.738721,350
